Employee_ID,First_Name,Last_Name,Gender,Birthdate,Job_Title,Job_Category,Salary,Experience_Level,Work_Setting,Location,Company_Size,Hire_Date,Age
2010X1960,RICHARD,MACCARTHY,Male,1960-04-20,"Data Analyst","Data Analysis",157500,Senior,Remote,"United States",M,2010-06-30,64
2010A1960,ROBERT,CLARK,Male,1960-04-20,"Data Analyst","Data Analysis",132500,Senior,Remote,"United States",M,2010-06-30,64
2015I1980,RICHARD,LESIAK,Male,1980-11-20,"Data Analyst","Data Analysis",85000,Mid-level,In-person,"United States",M,2012-08-20,43
2015J1980,ROBERT,PAPINEAU,Male,1980-11-20,"Data Analyst","Data Analysis",75000,Mid-level,In-person,"United States",M,2012-08-20,43
2010I1960,MAE,WRIGHT,Female,1960-04-20,"Data Analyst","Data Analysis",93918,Senior,In-person,"United States",M,2010-06-30,64
2010O1960,SALLY,ZAMORANO,Female,1960-04-20,"Data Analyst","Data Analysis",51962,Senior,In-person,"United States",M,2010-06-30,64
2010P1960,MELISSA,AFRIYIE,Female,1960-04-20,"Data Analyst","Data Analysis",166000,Senior,In-person,"United States",M,2010-06-30,64
2010J1960,TUSHAR,ADVANI,Male,1960-04-20,"Data Analyst","Data Analysis",73000,Senior,In-person,"United States",M,2010-06-30,64
2015R1992,JOY,COLEMAN,Female,1992-04-20,"Data Analyst","Data Analysis",90000,Entry-level,Remote,"United States",S,2015-06-30,32
2015S1992,DANIEL,ADUGBA,Male,1992-04-20,"Data Analyst","Data Analysis",60000,Entry-level,Remote,"United States",S,2015-07-30,32
2010H1960,JOY,MARTINEZ,Female,1960-04-20,"Data Analyst","Data Analysis",80000,Senior,Remote,"United States",S,2010-06-30,64
